# BEGIN DATA
Process=pp -> e~vj + ev~j
6.500000e+02 7.000000e+02 4.420380e-04 1.213229e-08 1.213229e-08
7.000000e+02 7.500000e+02 2.835646e-04 8.595348e-09 8.595348e-09
7.500000e+02 8.000000e+02 1.857239e-04 6.256474e-09 6.256474e-09
8.000000e+02 8.500000e+02 1.238612e-04 4.639750e-09 4.639750e-09
8.500000e+02 9.000000e+02 8.393740e-05 3.489479e-09 3.489479e-09
9.000000e+02 9.500000e+02 5.768952e-05 2.658008e-09 2.658008e-09
9.500000e+02 1.000000e+03 4.014836e-05 2.049260e-09 2.049260e-09
1.000000e+03 1.100000e+03 2.416198e-05 4.630537e-10 4.630537e-10
1.100000e+03 1.200000e+03 1.240075e-05 2.654779e-10 2.654779e-10
1.200000e+03 1.300000e+03 6.564127e-06 1.643068e-10 1.643068e-10
1.300000e+03 1.400000e+03 3.563208e-06 1.046506e-10 1.046506e-10
1.400000e+03 1.600000e+03 1.543980e-06 4.032332e-11 4.032332e-11
1.600000e+03 1.800000e+03 5.021334e-07 1.803361e-11 1.803361e-11
1.800000e+03 2.000000e+03 1.704518e-07 8.325234e-12 8.325234e-12
2.000000e+03 2.200000e+03 5.949886e-08 8.213986e-13 8.213986e-13
2.200000e+03 2.400000e+03 2.109682e-08 3.597774e-13 3.597774e-13
2.400000e+03 2.600000e+03 7.526626e-09 1.697179e-13 1.697179e-13
2.600000e+03 2.800000e+03 2.680430e-09 8.224679e-14 8.224679e-14
2.800000e+03 3.000000e+03 9.462298e-10 4.045941e-14 4.045941e-14
3.000000e+03 6.500000e+03 2.847739e-11 1.307986e-15 1.307986e-15
# END HISTO1D

# BEGIN HISTO1D evj_pTV_K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.013021e+00 2.691958e-05 2.691958e-05
4.000000e+01 5.000000e+01 1.012519e+00 2.713009e-05 2.713009e-05
5.000000e+01 6.000000e+01 1.012079e+00 3.057610e-05 3.057610e-05
6.000000e+01 7.000000e+01 1.011676e+00 3.480907e-05 3.480907e-05
7.000000e+01 8.000000e+01 1.011324e+00 3.949470e-05 3.949470e-05
8.000000e+01 9.000000e+01 1.011010e+00 3.321501e-05 3.321501e-05
9.000000e+01 1.000000e+02 1.010717e+00 3.146716e-05 3.146716e-05
1.000000e+02 1.100000e+02 1.010458e+00 3.386754e-05 3.386754e-05
1.100000e+02 1.200000e+02 1.010230e+00 3.673118e-05 3.673118e-05
1.200000e+02 1.300000e+02 1.010014e+00 3.989413e-05 3.989413e-05
1.300000e+02 1.400000e+02 1.009812e+00 4.325762e-05 4.325762e-05
1.400000e+02 1.500000e+02 1.009262e+00 4.681027e-05 4.681027e-05
1.500000e+02 2.000000e+02 1.006362e+00 2.522522e-05 2.522522e-05
2.000000e+02 2.500000e+02 1.009132e+00 3.578208e-05 3.578208e-05
2.500000e+02 3.000000e+02 1.011318e+00 4.808251e-05 4.808251e-05
3.000000e+02 3.500000e+02 1.013119e+00 1.656373e-05 1.656373e-05
3.500000e+02 4.000000e+02 1.014643e+00 1.887109e-05 1.887109e-05
4.000000e+02 4.500000e+02 1.015971e+00 2.248899e-05 2.248899e-05
4.500000e+02 5.000000e+02 1.017143e+00 2.668530e-05 2.668530e-05
5.000000e+02 5.500000e+02 1.018199e+00 3.137875e-05 3.137875e-05
5.500000e+02 6.000000e+02 1.019165e+00 3.661256e-05 3.661256e-05
6.000000e+02 6.500000e+02 1.020056e+00 2.691534e-05 2.691534e-05
6.500000e+02 7.000000e+02 1.020885e+00 2.842720e-05 2.842720e-05
7.000000e+02 7.500000e+02 1.021666e+00 3.143691e-05 3.143691e-05
7.500000e+02 8.000000e+02 1.022409e+00 3.498149e-05 3.498149e-05
8.000000e+02 8.500000e+02 1.023121e+00 3.894608e-05 3.894608e-05
8.500000e+02 9.000000e+02 1.023809e+00 4.327241e-05 4.327241e-05
9.000000e+02 9.500000e+02 1.024474e+00 4.801220e-05 4.801220e-05
9.500000e+02 1.000000e+03 1.025121e+00 5.324750e-05 5.324750e-05
1.000000e+03 1.100000e+03 1.026016e+00 2.002244e-05 2.002244e-05
1.100000e+03 1.200000e+03 1.027253e+00 2.241777e-05 2.241777e-05
1.200000e+03 1.300000e+03 1.028475e+00 2.626738e-05 2.626738e-05
1.300000e+03 1.400000e+03 1.029696e+00 3.088532e-05 3.088532e-05
1.400000e+03 1.600000e+03 1.031359e+00 2.754253e-05 2.754253e-05
1.600000e+03 1.800000e+03 1.033863e+00 3.804010e-05 3.804010e-05
1.800000e+03 2.000000e+03 1.036473e+00 5.196470e-05 5.196470e-05
2.000000e+03 2.200000e+03 1.039224e+00 1.475310e-05 1.475310e-05
2.200000e+03 2.400000e+03 1.042148e+00 1.831524e-05 1.831524e-05
2.400000e+03 2.600000e+03 1.045275e+00 2.433373e-05 2.433373e-05
2.600000e+03 2.800000e+03 1.048655e+00 3.327147e-05 3.327147e-05
2.800000e+03 3.000000e+03 1.052342e+00 4.658887e-05 4.658887e-05
3.000000e+03 6.500000e+03 1.058459e+00 5.040407e-05 5.040407e-05
# END HISTO1D

# BEGIN HISTO1D evj_pTV_d1K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.134014e-01 2.691958e-05 2.691958e-05
4.000000e+01 5.000000e+01 1.112013e-01 2.713009e-05 2.713009e-05
5.000000e+01 6.000000e+01 1.092051e-01 3.057610e-05 3.057610e-05
6.000000e+01 7.000000e+01 1.073959e-01 3.480907e-05 3.480907e-05
7.000000e+01 8.000000e+01 1.057488e-01 3.949470e-05 3.949470e-05
8.000000e+01 9.000000e+01 1.042522e-01 3.321501e-05 3.321501e-05
9.000000e+01 1.000000e+02 1.028850e-01 3.146716e-05 3.146716e-05
1.000000e+02 1.100000e+02 1.016350e-01 3.386754e-05 3.386754e-05
1.100000e+02 1.200000e+02 1.004876e-01 3.673118e-05 3.673118e-05
1.200000e+02 1.300000e+02 9.942681e-02 3.989413e-05 3.989413e-05
1.300000e+02 1.400000e+02 9.844568e-02 4.325762e-05 4.325762e-05
1.400000e+02 1.500000e+02 9.790891e-02 4.681027e-05 4.681027e-05
1.500000e+02 2.000000e+02 1.020722e-01 2.522522e-05 2.522522e-05
2.000000e+02 2.500000e+02 1.168518e-01 3.578208e-05 3.578208e-05
2.500000e+02 3.000000e+02 1.281193e-01 4.808251e-05 4.808251e-05
3.000000e+02 3.500000e+02 1.371600e-01 1.656373e-05 1.656373e-05
3.500000e+02 4.000000e+02 1.446771e-01 1.887109e-05 1.887109e-05
4.000000e+02 4.500000e+02 1.511116e-01 2.248899e-05 2.248899e-05
4.500000e+02 5.000000e+02 1.567372e-01 2.668530e-05 2.668530e-05
5.000000e+02 5.500000e+02 1.617480e-01 3.137875e-05 3.137875e-05
5.500000e+02 6.000000e+02 1.662756e-01 3.661256e-05 3.661256e-05
6.000000e+02 6.500000e+02 1.704219e-01 2.691534e-05 2.691534e-05
6.500000e+02 7.000000e+02 1.742650e-01 2.842720e-05 2.842720e-05
7.000000e+02 7.500000e+02 1.778566e-01 3.143691e-05 3.143691e-05
7.500000e+02 8.000000e+02 1.812439e-01 3.498149e-05 3.498149e-05
8.000000e+02 8.500000e+02 1.844643e-01 3.894608e-05 3.894608e-05
8.500000e+02 9.000000e+02 1.875449e-01 4.327241e-05 4.327241e-05
9.000000e+02 9.500000e+02 1.905150e-01 4.801220e-05 4.801220e-05
9.500000e+02 1.000000e+03 1.933897e-01 5.324750e-05 5.324750e-05
1.000000e+03 1.100000e+03 1.973201e-01 2.002244e-05 2.002244e-05
1.100000e+03 1.200000e+03 2.026910e-01 2.241777e-05 2.241777e-05
1.200000e+03 1.300000e+03 2.078908e-01 2.626738e-05 2.626738e-05
1.300000e+03 1.400000e+03 2.129830e-01 3.088532e-05 3.088532e-05
1.400000e+03 1.600000e+03 2.198051e-01 2.754253e-05 2.754253e-05
1.600000e+03 1.800000e+03 2.297772e-01 3.804010e-05 3.804010e-05
1.800000e+03 2.000000e+03 2.397764e-01 5.196470e-05 5.196470e-05
2.000000e+03 2.200000e+03 2.499497e-01 1.475310e-05 1.475310e-05
2.200000e+03 2.400000e+03 2.603994e-01 1.831524e-05 1.831524e-05
2.400000e+03 2.600000e+03 2.712370e-01 2.433373e-05 2.433373e-05
2.600000e+03 2.800000e+03 2.825437e-01 3.327147e-05 3.327147e-05
2.800000e+03 3.000000e+03 2.944012e-01 4.658887e-05 4.658887e-05
3.000000e+03 6.500000e+03 3.130592e-01 5.040407e-05 5.040407e-05
# END HISTO1D

# BEGIN HISTO1D evj_pTV_d2K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -1.129193e-01 -2.680514e-05 -2.680514e-05
4.000000e+01 5.000000e+01 -1.103622e-01 -2.692538e-05 -2.692538e-05
5.000000e+01 6.000000e+01 -1.079204e-01 -3.021638e-05 -3.021638e-05
6.000000e+01 7.000000e+01 -1.055812e-01 -3.422089e-05 -3.422089e-05
7.000000e+01 8.000000e+01 -1.033241e-01 -3.858911e-05 -3.858911e-05
8.000000e+01 9.000000e+01 -1.011409e-01 -3.222375e-05 -3.222375e-05
9.000000e+01 1.000000e+02 -9.901423e-02 -3.028331e-05 -3.028331e-05
1.000000e+02 1.100000e+02 -9.693512e-02 -3.230141e-05 -3.230141e-05
1.100000e+02 1.200000e+02 -9.489209e-02 -3.468586e-05 -3.468586e-05
1.200000e+02 1.300000e+02 -9.287270e-02 -3.726435e-05 -3.726435e-05
1.300000e+02 1.400000e+02 -9.087293e-02 -3.993011e-05 -3.993011e-05
1.400000e+02 1.500000e+02 -8.922755e-02 -4.265971e-05 -4.265971e-05
1.500000e+02 2.000000e+02 -9.175027e-02 -2.267435e-05 -2.267435e-05
2.000000e+02 2.500000e+02 -9.663960e-02 -2.959274e-05 -2.959274e-05
2.500000e+02 3.000000e+02 -9.509884e-02 -3.569011e-05 -3.569011e-05
3.000000e+02 3.500000e+02 -8.898672e-02 -1.074622e-05 -1.074622e-05
3.500000e+02 4.000000e+02 -7.963874e-02 -1.038775e-05 -1.038775e-05
4.000000e+02 4.500000e+02 -6.809751e-02 -1.013452e-05 -1.013452e-05
4.500000e+02 5.000000e+02 -5.517150e-02 -9.393227e-06 -9.393227e-06
5.000000e+02 5.500000e+02 -4.148926e-02 -8.048824e-06 -8.048824e-06
5.500000e+02 6.000000e+02 -2.752148e-02 -6.060009e-06 -6.060009e-06
6.000000e+02 6.500000e+02 -1.361198e-02 -2.149787e-06 -2.149787e-06
6.500000e+02 7.000000e+02 0.000000e+00 0.000000e+00 0.000000e+00
7.000000e+02 7.500000e+02 1.315652e-02 2.325470e-06 2.325470e-06
7.500000e+02 8.000000e+02 2.576056e-02 4.971989e-06 4.971989e-06
8.000000e+02 8.500000e+02 3.776093e-02 7.972492e-06 7.972492e-06
8.500000e+02 9.000000e+02 4.913841e-02 1.133775e-05 1.133775e-05
9.000000e+02 9.500000e+02 5.989823e-02 1.509511e-05 1.509511e-05
9.500000e+02 1.000000e+03 7.005815e-02 1.928966e-05 1.928966e-05
1.000000e+03 1.100000e+03 8.010710e-02 8.128617e-06 8.128617e-06
1.100000e+03 1.200000e+03 9.777591e-02 1.081408e-05 1.081408e-05
1.200000e+03 1.300000e+03 1.135726e-01 1.435010e-05 1.435010e-05
1.300000e+03 1.400000e+03 1.277898e-01 1.853119e-05 1.853119e-05
1.400000e+03 1.600000e+03 1.418469e-01 1.777404e-05 1.777404e-05
1.600000e+03 1.800000e+03 1.646768e-01 2.726260e-05 2.726260e-05
1.800000e+03 2.000000e+03 1.844560e-01 3.997557e-05 3.997557e-05
2.000000e+03 2.200000e+03 2.021922e-01 1.193425e-05 1.193425e-05
2.200000e+03 2.400000e+03 2.185871e-01 1.537436e-05 1.537436e-05
2.400000e+03 2.600000e+03 2.341654e-01 2.100789e-05 2.100789e-05
2.600000e+03 2.800000e+03 2.493032e-01 2.935718e-05 2.935718e-05
2.800000e+03 3.000000e+03 2.642930e-01 4.182426e-05 4.182426e-05
3.000000e+03 6.500000e+03 2.849843e-01 4.588388e-05 4.588388e-05
# END HISTO1D

# BEGIN HISTO1D evj_pTV_K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.367680e+00 2.275597e-04 2.275597e-04
4.000000e+01 5.000000e+01 1.385076e+00 2.466265e-04 2.466265e-04
5.000000e+01 6.000000e+01 1.400547e+00 2.896728e-04 2.896728e-04
6.000000e+01 7.000000e+01 1.412116e+00 3.363220e-04 3.363220e-04
7.000000e+01 8.000000e+01 1.423806e+00 3.850077e-04 3.850077e-04
8.000000e+01 9.000000e+01 1.433818e+00 2.625465e-04 2.625465e-04
9.000000e+01 1.000000e+02 1.443267e+00 2.818837e-04 2.818837e-04
1.000000e+02 1.100000e+02 1.452405e+00 3.033189e-04 3.033189e-04
1.100000e+02 1.200000e+02 1.461355e+00 3.073600e-04 3.073600e-04
1.200000e+02 1.300000e+02 1.469575e+00 3.421631e-04 3.421631e-04
1.300000e+02 1.400000e+02 1.475584e+00 3.696308e-04 3.696308e-04
1.400000e+02 1.500000e+02 1.482032e+00 3.906480e-04 3.906480e-04
1.500000e+02 2.000000e+02 1.491762e+00 1.254982e-04 1.254982e-04
2.000000e+02 2.500000e+02 1.505340e+00 1.628912e-04 1.628912e-04
2.500000e+02 3.000000e+02 1.513476e+00 2.049946e-04 2.049946e-04
3.000000e+02 3.500000e+02 1.518040e+00 1.459970e-04 1.459970e-04
3.500000e+02 4.000000e+02 1.521225e+00 1.660263e-04 1.660263e-04
4.000000e+02 4.500000e+02 1.523456e+00 1.984907e-04 1.984907e-04
4.500000e+02 5.000000e+02 1.525233e+00 2.097174e-04 2.097174e-04
5.000000e+02 5.500000e+02 1.527029e+00 2.402409e-04 2.402409e-04
5.500000e+02 6.000000e+02 1.528016e+00 2.780583e-04 2.780583e-04
6.000000e+02 6.500000e+02 1.529807e+00 1.921575e-04 1.921575e-04
6.500000e+02 7.000000e+02 1.531153e+00 2.025179e-04 2.025179e-04
7.000000e+02 7.500000e+02 1.532945e+00 2.288675e-04 2.288675e-04
7.500000e+02 8.000000e+02 1.535105e+00 2.567654e-04 2.567654e-04
8.000000e+02 8.500000e+02 1.536504e+00 2.643587e-04 2.643587e-04
8.500000e+02 9.000000e+02 1.539566e+00 2.986629e-04 2.986629e-04
9.000000e+02 9.500000e+02 1.542542e+00 3.218280e-04 3.218280e-04
9.500000e+02 1.000000e+03 1.544943e+00 3.415443e-04 3.415443e-04
1.000000e+03 1.100000e+03 1.548746e+00 1.520833e-04 1.520833e-04
1.100000e+03 1.200000e+03 1.556276e+00 1.680526e-04 1.680526e-04
1.200000e+03 1.300000e+03 1.564231e+00 1.824512e-04 1.824512e-04
1.300000e+03 1.400000e+03 1.572670e+00 2.079488e-04 2.079488e-04
1.400000e+03 1.600000e+03 1.586527e+00 1.563199e-04 1.563199e-04
1.600000e+03 1.800000e+03 1.609173e+00 2.055692e-04 2.055692e-04
1.800000e+03 2.000000e+03 1.636770e+00 2.792340e-04 2.792340e-04
2.000000e+03 2.200000e+03 1.667503e+00 9.320688e-05 9.320688e-05
2.200000e+03 2.400000e+03 1.703641e+00 1.108343e-04 1.108343e-04
2.400000e+03 2.600000e+03 1.744350e+00 1.440191e-04 1.440191e-04
2.600000e+03 2.800000e+03 1.792269e+00 1.879108e-04 1.879108e-04
2.800000e+03 3.000000e+03 1.847037e+00 2.453292e-04 2.453292e-04
3.000000e+03 6.500000e+03 1.943492e+00 2.344708e-04 2.344708e-04
# END HISTO1D

# BEGIN HISTO1D evj_pTV_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.126988e+02 2.470934e-02 2.470934e-02
4.000000e+01 5.000000e+01 6.548057e+01 1.542029e-02 1.542029e-02
5.000000e+01 6.000000e+01 4.038291e+01 1.107070e-02 1.107070e-02
6.000000e+01 7.000000e+01 2.586190e+01 8.180021e-03 8.180021e-03
7.000000e+01 8.000000e+01 1.708246e+01 6.145319e-03 6.145319e-03
8.000000e+01 9.000000e+01 1.156041e+01 2.794067e-03 2.794067e-03
9.000000e+01 1.000000e+02 7.996679e+00 2.071203e-03 2.071203e-03
1.000000e+02 1.100000e+02 5.639833e+00 1.582556e-03 1.582556e-03
1.100000e+02 1.200000e+02 4.047843e+00 1.144604e-03 1.144604e-03
1.200000e+02 1.300000e+02 2.952241e+00 9.235737e-04 9.235737e-04
1.300000e+02 1.400000e+02 2.182721e+00 7.331779e-04 7.331779e-04
1.400000e+02 1.500000e+02 1.637722e+00 5.774022e-04 5.774022e-04
1.500000e+02 2.000000e+02 7.959036e-01 8.643951e-05 8.643951e-05
2.000000e+02 2.500000e+02 2.506292e-01 3.453709e-05 3.453709e-05
2.500000e+02 3.000000e+02 9.458287e-02 1.615390e-05 1.615390e-05
3.000000e+02 3.500000e+02 4.061452e-02 5.044104e-06 5.044104e-06
3.500000e+02 4.000000e+02 1.920899e-02 2.696308e-06 2.696308e-06
4.000000e+02 4.500000e+02 9.786842e-03 1.633804e-06 1.633804e-06
4.500000e+02 5.000000e+02 5.289783e-03 9.276087e-07 9.276087e-07
5.000000e+02 5.500000e+02 2.999477e-03 5.998217e-07 5.998217e-07
5.500000e+02 6.000000e+02 1.768619e-03 4.086093e-07 4.086093e-07
6.000000e+02 6.500000e+02 1.078440e-03 1.715640e-07 1.715640e-07
6.500000e+02 7.000000e+02 6.760989e-04 1.131107e-07 1.131107e-07
7.000000e+02 7.500000e+02 4.343052e-04 8.202862e-08 8.202862e-08
7.500000e+02 8.000000e+02 2.849025e-04 6.028417e-08 6.028417e-08
8.000000e+02 8.500000e+02 1.902089e-04 4.113413e-08 4.113413e-08
8.500000e+02 9.000000e+02 1.291785e-04 3.147507e-08 3.147507e-08
9.000000e+02 9.500000e+02 8.896341e-05 2.326382e-08 2.326382e-08
9.500000e+02 1.000000e+03 6.201710e-05 1.710810e-08 1.710810e-08
1.000000e+03 1.100000e+03 3.742155e-05 4.557050e-09 4.557050e-09
1.100000e+03 1.200000e+03 1.930183e-05 2.581260e-09 2.581260e-09
1.200000e+03 1.300000e+03 1.027077e-05 1.467081e-09 1.467081e-09
1.300000e+03 1.400000e+03 5.605684e-06 9.032447e-10 9.032447e-10
1.400000e+03 1.600000e+03 2.450605e-06 2.864316e-10 2.864316e-10
1.600000e+03 1.800000e+03 8.082955e-07 1.214531e-10 1.214531e-10
1.800000e+03 2.000000e+03 2.790177e-07 5.572561e-11 5.572561e-11
2.000000e+03 2.200000e+03 9.919047e-08 6.672717e-12 6.672717e-12
2.200000e+03 2.400000e+03 3.591267e-08 2.785361e-12 2.785361e-12
2.400000e+03 2.600000e+03 1.310922e-08 1.281698e-12 1.281698e-12
2.600000e+03 2.800000e+03 4.791879e-09 5.921198e-13 5.921198e-13
2.800000e+03 3.000000e+03 1.741234e-09 2.707554e-13 2.707554e-13
3.000000e+03 6.500000e+03 5.500705e-11 7.545409e-15 7.545409e-15
# END HISTO1D

# BEGIN HISTO1D evj_pTV_K_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.404490e+00 3.115295e-03 3.115295e-03
4.000000e+01 5.000000e+01 1.429169e+00 3.022469e-03 3.022469e-03
5.000000e+01 6.000000e+01 1.448065e+00 3.283290e-03 3.283290e-03
6.000000e+01 7.000000e+01 1.466378e+00 3.627866e-03 3.627866e-03
7.000000e+01 8.000000e+01 1.480927e+00 3.892939e-03 3.892939e-03
8.000000e+01 9.000000e+01 1.495229e+00 3.709584e-03 3.709584e-03
9.000000e+01 1.000000e+02 1.510991e+00 4.416768e-03 4.416768e-03
1.000000e+02 1.100000e+02 1.522023e+00 4.617126e-03 4.617126e-03
1.100000e+02 1.200000e+02 1.540619e+00 4.746832e-03 4.746832e-03
1.200000e+02 1.300000e+02 1.540978e+00 4.753428e-03 4.753428e-03
1.300000e+02 1.400000e+02 1.548535e+00 4.802072e-03 4.802072e-03
1.400000e+02 1.500000e+02 1.561826e+00 4.855613e-03 4.855613e-03
1.500000e+02 2.000000e+02 1.575358e+00 4.787698e-03 4.787698e-03
2.000000e+02 2.500000e+02 1.602141e+00 4.363009e-03 4.363009e-03
2.500000e+02 3.000000e+02 1.616212e+00 4.998066e-03 4.998066e-03
3.000000e+02 3.500000e+02 1.621950e+00 4.380178e-03 4.380178e-03
3.500000e+02 4.000000e+02 1.630215e+00 4.909772e-03 4.909772e-03
4.000000e+02 4.500000e+02 1.631422e+00 5.482086e-03 5.482086e-03
4.500000e+02 5.000000e+02 1.628530e+00 6.284088e-03 6.284088e-03
5.000000e+02 5.500000e+02 1.630669e+00 3.212800e-03 3.212800e-03
5.500000e+02 6.000000e+02 1.638075e+00 3.340106e-03 3.340106e-03
6.000000e+02 6.500000e+02 1.640343e+00 2.315258e-03 2.315258e-03
6.500000e+02 7.000000e+02 1.645088e+00 2.449239e-03 2.449239e-03
7.000000e+02 7.500000e+02 1.645001e+00 1.852532e-03 1.852532e-03
7.500000e+02 8.000000e+02 1.647542e+00 2.226799e-03 2.226799e-03
8.000000e+02 8.500000e+02 1.653621e+00 2.768568e-03 2.768568e-03
8.500000e+02 9.000000e+02 1.658659e+00 3.264793e-03 3.264793e-03
9.000000e+02 9.500000e+02 1.659822e+00 3.642490e-03 3.642490e-03
9.500000e+02 1.000000e+03 1.659126e+00 4.083052e-03 4.083052e-03
1.000000e+03 1.100000e+03 1.670654e+00 2.471501e-03 2.471501e-03
1.100000e+03 1.200000e+03 1.682722e+00 2.633412e-03 2.633412e-03
1.200000e+03 1.300000e+03 1.699202e+00 2.302976e-03 2.302976e-03
1.300000e+03 1.400000e+03 1.700610e+00 2.494263e-03 2.494263e-03
1.400000e+03 1.600000e+03 1.726165e+00 2.967246e-03 2.967246e-03
1.600000e+03 1.800000e+03 1.766463e+00 3.827513e-03 3.827513e-03
1.800000e+03 2.000000e+03 1.795536e+00 4.472082e-03 4.472082e-03
2.000000e+03 2.200000e+03 1.841560e+00 3.388861e-03 3.388861e-03
2.200000e+03 2.400000e+03 1.891530e+00 3.965362e-03 3.965362e-03
2.400000e+03 2.600000e+03 1.955252e+00 4.492776e-03 4.492776e-03
2.600000e+03 2.800000e+03 2.026776e+00 4.938206e-03 4.938206e-03
2.800000e+03 3.000000e+03 2.095109e+00 6.132901e-03 6.132901e-03
3.000000e+03 6.500000e+03 2.240436e+00 7.780907e-03 7.780907e-03
# END HISTO1D

# BEGIN HISTO1D evj_pTV_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.161928e+02 3.258304e-01 3.258304e-01
4.000000e+01 5.000000e+01 6.793403e+01 1.696159e-01 1.696159e-01
5.000000e+01 6.000000e+01 4.204147e+01 1.136450e-01 1.136450e-01
6.000000e+01 7.000000e+01 2.704851e+01 8.256472e-02 8.256472e-02
7.000000e+01 8.000000e+01 1.791423e+01 5.981414e-02 5.981414e-02
8.000000e+01 9.000000e+01 1.216399e+01 2.978879e-02 2.978879e-02
9.000000e+01 1.000000e+02 8.437386e+00 2.041912e-02 2.041912e-02
1.000000e+02 1.100000e+02 5.964437e+00 1.493212e-02 1.493212e-02
1.100000e+02 1.200000e+02 4.305795e+00 1.141978e-02 1.141978e-02
1.200000e+02 1.300000e+02 3.124844e+00 8.502558e-03 8.502558e-03
1.300000e+02 1.400000e+02 2.314873e+00 6.637355e-03 6.637355e-03
1.400000e+02 1.500000e+02 1.744275e+00 5.158005e-03 5.158005e-03
1.500000e+02 2.000000e+02 8.488302e-01 2.107375e-03 2.107375e-03
2.000000e+02 2.500000e+02 2.690339e-01 6.964498e-04 6.964498e-04
2.500000e+02 3.000000e+02 1.018215e-01 3.338516e-04 3.338516e-04
3.000000e+02 3.500000e+02 4.376237e-02 9.944763e-05 9.944763e-05
3.500000e+02 4.000000e+02 2.082108e-02 5.411865e-05 5.411865e-05
4.000000e+02 4.500000e+02 1.056583e-02 3.111494e-05 3.111494e-05
4.500000e+02 5.000000e+02 5.709754e-03 1.895061e-05 1.895061e-05
5.000000e+02 5.500000e+02 3.237470e-03 5.535406e-06 5.535406e-06
5.500000e+02 6.000000e+02 1.912992e-03 3.611823e-06 3.611823e-06
6.000000e+02 6.500000e+02 1.166402e-03 1.487267e-06 1.487267e-06
6.500000e+02 7.000000e+02 7.329023e-04 9.824077e-07 9.824077e-07
7.000000e+02 7.500000e+02 4.703911e-04 6.095486e-07 6.095486e-07
7.500000e+02 8.000000e+02 3.087928e-04 4.449935e-07 4.449935e-07
8.000000e+02 8.500000e+02 2.067656e-04 3.462824e-07 3.462824e-07
8.500000e+02 9.000000e+02 1.404765e-04 2.741836e-07 2.741836e-07
9.000000e+02 9.500000e+02 9.668423e-05 2.087809e-07 2.087809e-07
9.500000e+02 1.000000e+03 6.719655e-05 1.639855e-07 1.639855e-07
1.000000e+03 1.100000e+03 4.073745e-05 5.066787e-08 5.066787e-08
1.100000e+03 1.200000e+03 2.105218e-05 2.926448e-08 2.926448e-08
1.200000e+03 1.300000e+03 1.124228e-05 1.581328e-08 1.581328e-08
1.300000e+03 1.400000e+03 6.127314e-06 1.018012e-08 1.018012e-08
1.400000e+03 1.600000e+03 2.693835e-06 4.526672e-09 4.526672e-09
1.600000e+03 1.800000e+03 8.946271e-07 1.983591e-09 1.983591e-09
1.800000e+03 2.000000e+03 3.089170e-07 8.665193e-10 8.665193e-10
2.000000e+03 2.200000e+03 1.108436e-07 1.548242e-10 1.548242e-10
2.200000e+03 2.400000e+03 4.037292e-08 7.099740e-11 7.099740e-11
2.400000e+03 2.600000e+03 1.489497e-08 3.138019e-11 3.138019e-11
2.600000e+03 2.800000e+03 5.492591e-09 1.330857e-11 1.330857e-11
